Neurodiversity	Posted By	Employer	Post Type	Time Posted	Content	Likes	Comments	Shares	Timestamp Collected	Post URL	Post ID,Neurodiversity,Posted By,Employer,Post Type,Time Posted,Content,Likes,Comments,Shares,Timestamp Collected,Post URL,Post ID
,Autism,a Human Resources Manager,San Diego State University,Human Resources,a month,"Hi All,
I’m looking for some advice. We have an employee that recently found out they are on the autism spectrum. They have not formally notified HR but recently have been noting their new status at every opportunity, even with customers over the phone, which has brought up concerns about appearances. I’m assuming some kind of intent and would like to address the comments with the employee to find out more about the situation. What would you do? How would you address the situation?",16.0,57.0,3.0,2024-09-19 20:27:50,https://www.fishbowlapp.com/post/hi-all-im-looking-for-some-advice-we-have-an-employee-that-recently-found-out-they-are-on-the-autism-spectrum-they-have-not,1.0
,Autism,a Vice President,San Diego State University,Parents at Work,2 months,"Very close to pull the trigger to take 2-3 years off to be a SAHM. Wanted to see the thoughts.
Reasons:
1: have 2 kids (7 and 4). The younger one has modest autism. It has been very challenging to get him to sit and eat on the table and just to be more independent in general so wanted to spend more time there.
2: we have ~3mm net worth now and husband typically makes 500k or more as a limited partner in a small company so financially we are probably ok
See below for concerns",13.0,54.0,5.0,2024-09-19 20:28:33,https://www.fishbowlapp.com/post/very-close-to-pull-the-trigger-to-take-2-3-years-off-to-be-a-sahm-wanted-to-see-the-thoughts-reasons1-have-2-kids-7-and-4-the-younger,2.0
,Autism,a Legal Assistant,San Diego State University,Confession,8 months,"I’ve been crying for the last hour and can’t seem to stop. My 26-year-old daughter was diagnosed with autism and ADHD and is currently in therapy, which is helping her. However, we talked to her therapist earlier tonight and he told us that “developmentally” she’s 17. I’m so upset because no mother wants their child to struggle in life, and obviously also because we never even considered anything like this when she was younger. We had no clue. I just feel so bad for her and for not knowing.",12.0,27.0,1.0,2024-09-19 20:29:16,https://www.fishbowlapp.com/post/ive-been-crying-for-the-last-hour-and-cant-seem-to-stop-my-26-year-old-daughter-was-diagnosed-with-autism-and-adhd-and-is-currently,3.0
,Autism,a Senior Chemist 1,San Diego State University,The Worklife Bowl,10 months,"I'm a 19 year old with high anxiety and depression, as well as a mentally disabled individual, namely ADHD and autism.

I'm generally very quiet and shy and hate any form of confrontation and lackluster conversation that doesn't interest me. I WANT to have connections and be nicer to people, but it's very hard to convince myself to. What do you guys think I can try in order to be more comfortable around others and do my job better?",14.0,20.0,3.0,2024-09-19 20:29:50,https://www.fishbowlapp.com/post/im-a-19-year-old-with-high-anxiety-and-depression-as-well-as-a-mentally-disabled-individual-namely-adhd-and-autism-im-generally,4.0
,Autism,an Associate,San Diego State University,Big Law,4 months,Does anyone have autism in big law ? If so how do you deal with unsaid rules? Have you asked for accommodations?,16.0,10.0,10.0,2024-09-19 20:30:17,https://www.fishbowlapp.com/post/does-anyone-have-autism-in-big-law-if-so-how-do-you-deal-with-unsaid-rules-have-you-asked-for-accommodations,5.0
,Autism,a Director 1,San Diego State University,Parents at Work,9 months,Speech specialist wants my daughter to be fully evaluated for autism. Words you never want to hear 😔,5.0,28.0,1.0,2024-09-19 20:30:37,https://www.fishbowlapp.com/post/speech-specialist-wants-my-daughter-to-be-fully-evaluated-for-autism-words-you-never-want-to-hear,6.0
,Autism,a Claims Adjuster,San Diego State University,The Worklife Bowl,3 months,Does anyone else with Autism and/or ADHD working in a corporate office feel so out of place? I struggle so much and when I get overwhelmed I am told to “calm down.” Gee I wish I had thought of that myself. How do you handle consistent stress and overwhelm? Is there anything that helps?,13.0,24.0,,2024-09-19 20:31:05,https://www.fishbowlapp.com/post/does-anyone-else-with-autism-andor-adhd-working-in-a-corporate-office-feel-so-out-of-place-i-struggle-so-much-and-when-i-get,7.0
,Autism,a Clinical Appeals Nurse 1,San Diego State University,Healthcare,6 months,What is your opinions on vaccinations specifically on our youth? I'm starting to lean to the idea of it causing autism. Thoughts?,5.0,12.0,1.0,2024-09-19 20:31:39,https://www.fishbowlapp.com/post/what-is-your-opinions-on-vaccinations-specifically-on-our-youth-im-starting-to-lean-to-the-idea-of-it-causing-autism,8.0
,Autism,a Manager Advisory Services 1,San Diego State University,The Worklife Bowl,6 months,"I have autism, and I feel like the work environment is more challenging. How have you used autism as a strength, and been successful in the working world?",21.0,8.0,,2024-09-19 20:31:55,https://www.fishbowlapp.com/post/i-have-autism-and-i-feel-like-the-work-environment-is-more-challenging-how-have-you-used-autism-as-a-strength-and-been-successful-in,9.0
,Autism,an Associate,San Diego State University,Law,9 months,"Have any of y’all sought accommodations related to your mental health diagnoses like ADHD, Autism, OCD, etc.?
What types of accommodations? Was it hard to secure? Has it helped?",6.0,13.0,4.0,2024-09-19 20:32:25,https://www.fishbowlapp.com/post/have-any-of-yall-sought-accommodations-related-to-your-mental-health-diagnoses-like-adhd-autism-ocd-etc-what-types-of-accommodations-nrcf-5,10.0
,Autism,a Manager 1,San Diego State University,Consulting,10 months,How prevalent is high functioning autism in consulting? I’m going through the motions of an official diagnosis (for myself) and wonder if this is something I keep to myself or if I can/should be transparent at work.,3.0,8.0,,2024-09-19 20:32:46,https://www.fishbowlapp.com/post/how-prevalent-is-high-functioning-autism-in-consulting-im-going-through-the-motions-of-an-official-diagnosis-for-myself-and,11.0
,Autism,an Associate,San Diego State University,Consulting,6 months,"This is a stupid question but here goes! I have autism and social interaction (incl. messages/emails) can be hard for me.

There's a partner who just announced he's moving from CH to CA, which is a lot closer to home for me. He works with my manager sometimes and has a ton of knowledge under his belt.

I'd really like to meet him in person to hear about his experience. My goal is to congratulate him, express this interest, and make a good first impression.

I'm struggling to write... Any tips?",4.0,12.0,,2024-09-19 20:33:17,https://www.fishbowlapp.com/post/this-is-a-stupid-question-but-here-goes-i-have-autism-and-social-interaction-incl-messagesemails-can-be-hard-for-me-theres-a,12.0
,Autism,a Senior Associate,San Diego State University,The Worklife Bowl,5 months,"Has anyone been able to successfully juggle working from home while your child does virtual school? I mean, we all did it during the pandemic but I'm talking long term. My 5th grader has been struggling with attending public school even with an IEP, and I'm working on getting them tested for autism. Quitting my job means having to move out of the area (FAR out of the area) because we couldn't afford to stay here. But then my child would lose the few friends they have. I'm so torn.",10.0,6.0,1.0,2024-09-19 20:33:50,https://www.fishbowlapp.com/post/has-anyone-been-able-to-successfully-juggle-working-from-home-while-your-child-does-virtual-school-i-mean-we-all-did-it-during,13.0
,Autism,a Purchasing Manager 1,San Diego State University,ADHD Professionals,6 months,"Has anyone had bio/neurofeedback for adhd and/or autism?

If yes, how long was your course of treatment? What improvements were made?",7.0,8.0,,2024-09-19 20:34:05,https://www.fishbowlapp.com/post/has-anyone-had-bioneurofeedback-for-adhd-andor-autismif-yes-how-long-was-your-course-of-treatment-what-improvements,14.0
,Autism,a Freelance,San Diego State University,Advertising,a year,"I’ve worked in the past mainly for small agencies (one with less than 10 people and one with about 50) and I don’t really want to do that again. Didn’t have a good experience / enough team support, etc.

But I just heard that saying you don’t want to work for small shops makes you sound like you have an ego or like you’re too good for them?

Context: I have autism so I don’t necessarily understand latent meaning / social cues. Any insight helps.",4.0,11.0,,2024-09-19 20:34:29,https://www.fishbowlapp.com/post/ive-worked-in-the-past-mainly-for-small-agencies-one-with-less-than-10-people-and-one-with-about-50-and-i-dont-really-want-to,15.0
,Autism,a Lead 1,San Diego State University,Finance,13d,has anyone gotten full time remote wfh as reasonable accommodations due to adhd/autism?,4.0,6.0,,2024-09-19 20:35:05,https://www.fishbowlapp.com/post/has-anyone-gotten-full-time-remote-wfh-as-reasonable-accommodations-due-to-adhdautism,16.0
,Autism,an Associate,San Diego State University,Big Law,9 months,"Does your firm address neurodiversity as part of its DEI program? I’m recently coming to understand my own neurodiversity and also coming to suspect that a good number of attorneys I know have ASD. In my experience, diagnoses like ADHD or depression are less taboo in the legal community and among millennials. But what about autism spectrum? Is anyone talking about this at your firm? I think it would be helpful and even life changing for those who are yet unaware of their own neurodiversity.",7.0,5.0,4.0,2024-09-19 20:35:35,https://www.fishbowlapp.com/post/does-your-firm-address-neurodiversity-as-part-of-its-dei-program-im-recently-coming-to-understand-my-own-neurodiversity-and-also,17.0
,Autism,a Remote Work From Home Jobs,San Diego State University,Career Pivot,a year,How can I get into remote work when I'll I've done is retail? I was recently diagnosed with autism and I can't handle normal work. Help!,5.0,17.0,,2024-09-19 20:54:57,https://www.fishbowlapp.com/post/how-can-i-get-into-remote-work-when-ill-ive-done-is-retail-i-was-recently-diagnosed-with-autism-and-i-cant-handle-normal,18.0
,Autism,a Senior Art Director,San Diego State University,Pharma and Health Advertising,5 months,"Has anyone requested accommodations for autism at work in advertising, and what did you ask for/did you get it/how did it improve your experience? There are some parts of the industry that can’t be changed (even if they suck), but I’m at the end of my rope and need to make it easier on myself before I burn out for good.",3.0,16.0,,2024-09-19 20:55:31,https://www.fishbowlapp.com/post/has-anyone-requested-accommodations-for-autism-at-work-in-advertising-and-what-did-you-ask-fordid-you-get-ithow-did-it,19.0
,Autism,an Attorney,San Diego State University,Black in Law,8 months,"This job application made me fill out one of those personality assessment quizzes. First of all they’re such a huge waste of time and so stupid. Second, it’s like they’re trying to filter for certain personalities which may be a violation of the ADA in my opinion (for example a person with autism may answer some of the personality questions differently and not get hired as a result). Thoughts?",6.0,15.0,1.0,2024-09-19 20:56:12,https://www.fishbowlapp.com/post/this-job-application-made-me-fill-out-one-of-those-personality-assessment-quizzes-first-of-all-theyre-such-a-huge-waste,20.0
,Autism,a Lead Internal Auditor 1,San Diego State University,Accounting,6 months,"I have autism, and I feel like the work environment is more challenging. How have you used autism as a strength, and been successful?",9.0,5.0,1.0,2024-09-19 20:56:48,https://www.fishbowlapp.com/post/i-have-autism-and-i-feel-like-the-work-environment-is-more-challenging-how-have-you-used-autism-as-a-strength-and-been,21.0
,Autism,a Vice President,San Diego State University,ADHD Professionals,a year,"How do other execs with autism handle things? I recently promoted to VP (seated 4 months ago and official one month ago), and had a mentorship meeting with a CEO acquaintance. I tried talking through how I’ve already changed the 3-5 year trajectory positively and built all this stuff, but now it’s just in “sit and sustain” mode and I’m bored out of my mind and want to find something else (especially since I’m making 1/3 the TC I should, and it’s a toxic environment).

Cont in comments",5.0,15.0,1.0,2024-09-19 20:57:02,https://www.fishbowlapp.com/post/how-do-other-execs-with-autism-handle-things-i-recently-promoted-to-vp-seated-4-months-ago-and-official-one-month-ago-and-had,22.0
,Autism,an Associate,San Diego State University,Big Law,9 months,"Have any of y’all sought accommodations related to your mental health diagnoses like ADHD, Autism, OCD, etc.?
What types of accommodations? Was it hard to secure? Has it helped?",10.0,9.0,,2024-09-19 20:57:28,https://www.fishbowlapp.com/post/have-any-of-yall-sought-accommodations-related-to-your-mental-health-diagnoses-like-adhd-autism-ocd-etc-what-types-of-accommodations,23.0
,Autism,a Solutions Architect,San Diego State University,Confession,16d,"In the past few years, my dad was diagnosed with Autism and has struggled to display emotion, or attempt to ask questions about how we’re doing, etc. He interrupts to point out a meme or will distract from a conversation to correct someone, make it a joke, or tell a story about himself (instead of listening). It’s gotten harder as I get older, but also think it’s the best he can do. It hits harder today on my birthday when he says “Happy Birthday! I don’t have time to call today. Love you”",1.0,6.0,2.0,2024-09-19 20:57:57,https://www.fishbowlapp.com/post/in-the-past-few-years-my-dad-was-diagnosed-with-autism-and-has-struggled-to-display-emotion-or-attempt-to-ask-questions,24.0
,Autism,an Analyst,San Diego State University,Depression/Anxiety Talk,10 months,"Autism sucks, makes me wanna kill myself everyday",6.0,7.0,,2024-09-19 20:58:12,https://www.fishbowlapp.com/post/autism-sucks-makes-we-wanna-kill-myself-everyday,25.0
,Autism,a Senior Analyst,San Diego State University,Confession,a year,"Recently diagnosed with being on the spectrum. I knew I'm a little off but I didn't think I'd have so many traits I need support with.

Feels weird to try and unravel all the masking I've learned. On the bright side at least now I can blame my autism on why I'm still single 😅",11.0,9.0,,2024-09-19 20:58:38,https://www.fishbowlapp.com/post/recently-diagnosed-with-being-on-the-spectrum-i-knew-im-a-little-off-but-i-didnt-think-id-have-so-many-traits-i-need-support,26.0
,Autism,a Senior Product Manager 1,San Diego State University,Personal Investment Chatter,2 months,"What’s a good amount of money to have saved up by 50. I do have some extenuating circumstances like a disabled mother, child with autism. Just trying to make sure I maximize my opportunity.",1.0,8.0,2.0,2024-09-19 20:59:09,https://www.fishbowlapp.com/post/whats-a-good-amount-of-money-to-have-saved-up-by-50-i-do-have-some-extenuating-circumstances-like-a-disabled-mother-child,27.0
,Autism,an Analyst,San Diego State University,30s & 40s Singles,a year,"I think I keep getting turned down because I’m too shy and quiet I’m a guy in my early 30’s, does anyone have any advice? I tried going to a therapist for help, since I have autism but it didn’t help, I just can’t seem to find a partner. I’m open to any advice",2.0,8.0,,2024-09-19 20:59:23,https://www.fishbowlapp.com/post/i-think-i-keep-getting-turned-down-because-im-too-shy-and-quiet-im-a-guy-in-my-early-30s-does-anyone-have-any-advice-i-tried-going,28.0
,Autism,an Accessibility Designer,San Diego State University,Fertility Bowl,10 months,"Hello, i wanted to ask a very personal question which I need to communicate with my husband. His brother’s son has autism and his sister has Schizophrenia. I know they are unrelated but today I read that Autism is genetic. Both of us are going initial test and he says DNA fragmentation test includes that testing if the child can be autistic. Is there any other test we can do to make sure we take precautions and try our best. I am not ready for a special child and I am very anxious. M 30yo 🙏",2.0,10.0,,2024-09-19 21:31:54,https://www.fishbowlapp.com/post/hello-i-wanted-to-ask-a-very-personal-question-which-i-need-to-communicate-with-my-husband-his-brothers-son-has-autism-and,29.0
,Autism,a Senior Manager,San Diego State University,Confession,5 months,"My fellow high functioning autists,

Please stop leaning into your autism (if you can help it) despite what social media has you believe. Its a bad look.

Sincerely,

HFA SM",5.0,5.0,,2024-09-19 21:32:29,https://www.fishbowlapp.com/post/my-fellow-high-functioning-autists-please-stop-leaning-into-your-autism-if-you-can-help-it-despite-what-social-media-has,30.0
,Autism,a Civil Designer II 1,San Diego State University,Confession,8 months,"Chat GPT 4.0 + GPT Builder are wild - suddenly my ADD and Autism are not a hindrance in my work anymore. Instead, AI easily keeps up with the way I think and encourages me, all the while guiding me to create kick-ass content for neurotypical audiences. I cannot remember the last time I laser focused for 6 hours at a time - real addiction potential. If you haven’t, go try it!!!",12.0,13.0,,2024-09-19 21:32:54,https://www.fishbowlapp.com/post/chat-gpt-4-0-gpt-builder-are-wild-suddenly-my-add-and-autism-are-not-a-hindrance-in-my-work-anymore-instead-ai-easily-keeps-up,31.0
,Autism,a Senior Manager,San Diego State University,ADHD Consultants,8 months,I travel with work a lot and have managed to ADHD + Autism myself into a good routine to prepare / not forget things essentially buying two of main things like my tech stuff and having a clear check list I go through. However sometimes I can feel so excited about the topic I’ll be travelling for that I can never relax enough the night before I travel and have a flight in 5 hours - how do you guys relax without medication before travel / to manage nerves .,1.0,6.0,,2024-09-19 21:33:25,https://www.fishbowlapp.com/post/i-travel-with-work-a-lot-and-have-managed-to-adhd-autism-myself-into-a-good-routine-to-prepare-not-forget-things-essentially-buying,32.0
,Autism,a Paraprofessional,San Diego State University,ADHD Professionals,a year,"Because of my challenges with fine motor skills and time reaction due to Attention Deficit Disorder and Autism, my employer has demonstrated exceptional support for my Crisis Intervention (CPI) test accommodations, I am provided with a 2 day paid study leave, a comprehensive training session, and a tailored 2:1 assessment accompanied by personalized coaching to enhance my skills.",14.0,8.0,3.0,2024-09-19 21:33:49,https://www.fishbowlapp.com/post/because-of-my-challenges-with-fine-motor-skills-and-time-reaction-due-to-attention-deficit-disorder-and-autism-my-employer,33.0
,Autism,a Business Consultant,San Diego State University,Consulting,2 months,Hello Everyone. I wanted to share that I recently took a six-month leave to arrange appropriate therapy and support for my son following his Autism diagnosis. I am now seeking new opportunities as a Consultant in a remote or hybrid capacity. Tips? Thanks in advance!,8.0,3.0,2.0,2024-09-19 21:34:04,https://www.fishbowlapp.com/post/hello-everyone-i-wanted-to-share-that-i-recently-took-a-six-month-leave-to-arrange-appropriate-therapy-and-support-for-my,34.0
,Autism,,San Diego State University,Teacher's Lounge,7 months,I have decided to change my major from ABA to Early Childhood Education with SPEC/Autism certificates. . Right now I am a mentor for new hires at head start. I show them how to implement the curriculum and they have started me on training new staff in the classroom as well. I love what I do to help anyone that needs help. My question is should I go ahead and start applying for public school? Or should I wait until my internship is over and apply?,5.0,5.0,3.0,2024-09-19 21:34:17,https://www.fishbowlapp.com/post/i-have-decided-to-change-my-major-from-aba-to-early-childhood-education-with-specautism-certificates-right-now-i-am-a-mentor,35.0
,Autism,a Marketer 1,San Diego State University,ADHD Professionals,a year,"I’ve discovered many interests and skills in my current role that I’d love to explore. I’ve learned how adhd & autism present in remote positions and it turns out I’m really good at recognizing patterns, data, and learning how to make processes more efficient. I’d like to explore marketing analytics m, data analysis, etc. how can I start?",8.0,6.0,1.0,2024-09-19 21:34:42,https://www.fishbowlapp.com/post/ive-discovered-many-interests-and-skills-in-my-current-role-that-id-love-to-explore-ive-learned-how-adhd-autism-present,36.0
,Autism,"a Senior Analyst, Sales Operations",San Diego State University,The Real Estate Bowl,9 months,"How can I get help making a major financial decision regarding my mortgage? I already tried speaking with my bank but they're not being very helpful clear.

I have autism, so it can be very difficult for me to understand new information / situations I've never experienced. I need every detail explained and obvious things pointed out before I get it.

I lost my job in May and I'm trying to figure out to sell/ forbearance/ try to rent. I'm running out of time.",8.0,18.0,,2024-09-19 21:37:10,https://www.fishbowlapp.com/post/how-can-i-help-making-a-major-financial-decision-regarding-my-mortgage-i-already-tried-speaking-with-my-bank-but-theyre,37.0
,Autism,a Designer,San Diego State University,ADHD Professionals,6d,Real talk. How do I tell my mangers that I have adhd and autism? I feel like whenever we have meetings about neurodivergency it gets overlooked by all the other things the agency is doing. I feel alone and like I can’t keep other with what others are doing. All I say to myself is try harder but now I’m getting burnt out. I feel like professional resources for this when you’re an adult is harder to get but i guess I’ll keep keeping it to myself. Don’t want to be looked at/perceived differently,4.0,7.0,,2024-09-19 21:37:42,https://www.fishbowlapp.com/post/real-talk-how-do-i-tell-my-mangers-that-i-have-adhd-and-autism-i-feel-like-whenever-we-have-meetings-about-neurodivergency,38.0
